TM4C,10,13,20,26,33,36,39,45,52,58,65,71,78,84,94,112,131,147,163,186,202,218,237,257,273,289,308,319
Grid,1630,1253,2885,3561,3815,4366,4843,4917,4905,4970,4995,5088,5105,5190,5063,5151,5160,5238,5300,5215,5207,5256,5329,5233,5227,5249,5282,5260
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TM4C,62,65,68,69,70,71,74,77,78,81,84,91,94,100,108,128,153,186,228,269,319,371,426,484,537,585,618,663
Grid,790,815,764,768,800,816,810,805,807,827,845,835,851,860,861,867,869,849,828,814,793,778,767,762,761,776,799,844
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TM4C,7,55,84,103,124,147,166,179,195,218,250,257,289,308,339,371,390,413,432,429,445,455,464,468,477,481,487,497
Grid,5942,5036,5035,5165,5129,5095,5162,5122,5148,5087,5112,5140,5121,5123,5129,5126,5148,5125,5136,5244,5121,5123,5140,5143,5127,5147,5151,5116
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TM4C,4,7,10,16,23,29,36,42,45,58,68,71,87,100,118,134,147,163,173,182,189,192,199,215,368,474,553,595
Grid,250,1000,1400,1250,1086,1137,1111,1071,1133,1034,1014,1014,1011,990,974,970,952,926,936,923,915,916,919,897,831,814,848,941
